sumSS,SoTQ
6,40
7,40
8,40
9,40
10,40
11,40
12,40
13,40
14,40
15,40
16,40
17,40
18,40
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,41
33,43
34,45
35,48
36,50
37,52
38,54
39,56
40,58
41,60
42,62
43,64
44,66
45,69
46,71
47,73
48,75
49,77
50,79
51,81
52,83
53,85
54,87
55,90
56,92
57,94
58,96
59,98
60,100
61,102
62,104
63,106
64,108
65,110
66,113
67,115
68,117
69,119
70,121
71,123
72,125
73,127
74,129
75,131
76,134
77,136
78,138
79,140
80,142
81,144
82,146
83,148
84,150
85,152
86,155
87,157
88,159
89,160
90,160
91,160
92,160
93,160
94,160
95,160
96,160
97,160
98,160
99,160
100,160
101,160
102,160
103,160
104,160
105,160
106,160
107,160
108,160
109,160
110,160
111,160
112,160
113,160
114,160
